question_id,Theme_1_Elderly_Wellbeing_as_Dignified_Integrated_Balance_segments,Theme_1_Elderly_Wellbeing_as_Dignified_Integrated_Balance_speakers,Theme_1_Elderly_Wellbeing_as_Dignified_Integrated_Balance_tables,Theme_2_Good_Ageing_as_Relational_Belonging_Non_Burden_and_Continued_Significance_segments,Theme_2_Good_Ageing_as_Relational_Belonging_Non_Burden_and_Continued_Significance_speakers,Theme_2_Good_Ageing_as_Relational_Belonging_Non_Burden_and_Continued_Significance_tables,Theme_3_Holistic_Elder_Care_as_Partially_Present_but_Unevenly_Integrated_segments,Theme_3_Holistic_Elder_Care_as_Partially_Present_but_Unevenly_Integrated_speakers,Theme_3_Holistic_Elder_Care_as_Partially_Present_but_Unevenly_Integrated_tables,Theme_4_Institutionally_Embedded_and_Socially_Distributed_Routes_to_Elder_Care_Redesign_segments,Theme_4_Institutionally_Embedded_and_Socially_Distributed_Routes_to_Elder_Care_Redesign_speakers,Theme_4_Institutionally_Embedded_and_Socially_Distributed_Routes_to_Elder_Care_Redesign_tables
Q1,27,22,5,20,15,5,0,0,0,0,0,0
Q2,19,12,5,17,12,5,0,0,0,0,0,0
Q3,51,16,5,31,10,3,0,0,0,0,0,0
Q4,39,15,5,23,10,4,32,13,5,0,0,0
Q5,0,0,0,23,9,3,30,15,5,27,14,5
Q6,0,0,0,0,0,0,19,9,4,14,8,4
Q7,0,0,0,0,0,0,0,0,0,29,11,4
