source_file,total_segments,participant_segments,unique_speakers,questions_covered,themes_present
HWCH0AR.docx,620,476,5,Q1;Q2;Q3;Q5,Theme_1_Balanced_Contentment;Theme_2_Care_Ecology;Theme_3_Service_Fragmentation;Theme_4_Culturally_Grounded_Solutions
HWCH10AR.docx,44,40,6,Q1;Q2;Q3;Q4,Theme_1_Balanced_Contentment;Theme_2_Care_Ecology;Theme_3_Service_Fragmentation;Theme_4_Culturally_Grounded_Solutions
HWCH2AR.docx,114,72,2,Q1;Q4;Q6,Theme_2_Care_Ecology;Theme_3_Service_Fragmentation
HWCH3AR.docx,72,0,0,Q1;Q3,
HWCH4AR.docx,52,7,2,Q1;Q2;Q3;Q4;Q5;Q6;Q7,
HWCH6AR.docx,99,92,5,Q1;Q2;Q3;Q4;Q5;Q6,Theme_1_Balanced_Contentment;Theme_2_Care_Ecology;Theme_3_Service_Fragmentation;Theme_4_Culturally_Grounded_Solutions
HWCH7AR.docx,157,118,7,Q1;Q2;Q3;Q4;Q5;Q6;Q7,
