anonymized_code,source_file,table_id,speaker_type,segment_count,total_chars,questions_covered,top_codes
D1_M01,HWCH0AR.docx,0,moderator,140,17289,Q1;Q2;Q3;Q5,general_response;practical_recommendation;healthcare_system_critique;pillar_social;interdependent_care
D1_M02,HWCH2AR.docx,2,moderator,0,0,,
D1_M03,HWCH3AR.docx,3,moderator,48,20413,Q3,general_response;healthcare_worker_wellbeing;awareness_education;healthcare_system_critique;training_deficit
D1_M04,HWCH4AR.docx,4,moderator,43,15191,Q1;Q2;Q3;Q4;Q5;Q6;Q7,general_response;professional_identity
D1_M05,HWCH6AR.docx,6,moderator,4,766,Q1,general_response
D1_M06,HWCH7AR.docx,7,moderator,39,6110,Q1;Q2;Q3;Q4;Q5;Q6;Q7,general_response
D1_M07,HWCH10AR.docx,10,moderator,2,380,Q2;Q3,contentment_as_core;safety_security;spiritual_moral_anchor
D1_M08,HWCH10AR.docx,10,moderator,2,384,Q2,healthcare_system_critique;hidden_masked_distress;practical_recommendation;professional_identity;service_recipient_voice
D1_P01,HWCH0AR.docx,0,participant,120,15833,Q1;Q2;Q3;Q5,general_response;practical_recommendation;school_clinical_link;spiritual_moral_anchor;family_support_ecology
D1_P02,HWCH0AR.docx,0,participant,192,19700,Q1;Q2;Q3;Q5,general_response;school_clinical_link;practical_recommendation;awareness_education;service_recipient_voice
D1_P03,HWCH0AR.docx,0,participant,102,13163,Q1;Q2;Q3;Q5,general_response;spiritual_moral_anchor;awareness_education;healthcare_system_critique;pillar_physical
D1_P04,HWCH0AR.docx,0,participant,37,6280,Q3,general_response;family_support_ecology;practical_recommendation;child_vulnerability;training_deficit
D1_P05,HWCH0AR.docx,0,participant,25,2032,Q1;Q2;Q3,general_response;practical_recommendation;spiritual_moral_anchor;balance_multidimensional
D1_P06,HWCH2AR.docx,2,participant,25,10255,Q6,general_response;healthcare_system_critique;family_support_ecology
D1_P07,HWCH2AR.docx,2,participant,47,18975,Q4,general_response;healthcare_system_critique;family_support_ecology
D1_P08,HWCH4AR.docx,4,participant,2,985,Q1,general_response
D1_P09,HWCH4AR.docx,4,participant,5,923,Q3;Q6;Q7,general_response
D1_P10,HWCH6AR.docx,6,participant,63,26630,Q1;Q2;Q3;Q4;Q5;Q6,general_response;cultural_local_adaptation;healthcare_system_critique;pillar_emotional;interdependent_care
D1_P11,HWCH6AR.docx,6,participant,20,9126,Q3;Q5,general_response;balance_multidimensional
D1_P12,HWCH6AR.docx,6,participant,6,2629,Q2,awareness_education;interdependent_care;early_detection_prevention;general_response
D1_P13,HWCH6AR.docx,6,participant,2,265,Q1,general_response
D1_P14,HWCH6AR.docx,6,participant,1,239,Q1,general_response
D1_P15,HWCH7AR.docx,7,participant,35,12656,Q1;Q2;Q3;Q4;Q5;Q6;Q7,general_response
D1_P16,HWCH7AR.docx,7,participant,30,9365,Q1;Q2;Q3;Q4;Q5;Q6;Q7,general_response
D1_P17,HWCH7AR.docx,7,participant,17,6223,Q1;Q2;Q3;Q4;Q5;Q7,general_response
D1_P18,HWCH7AR.docx,7,participant,13,3595,Q1;Q3;Q4;Q5;Q6;Q7,general_response
D1_P19,HWCH7AR.docx,7,participant,9,3259,Q1;Q3;Q6;Q7,general_response
D1_P20,HWCH7AR.docx,7,participant,8,2554,Q5;Q6;Q7,general_response
D1_P21,HWCH7AR.docx,7,participant,6,2475,Q3;Q5,general_response
D1_P22,HWCH10AR.docx,10,participant,6,811,Q1;Q2;Q3;Q4,pillar_emotional;pillar_physical;cultural_local_adaptation;general_response;pillar_social
D1_P23,HWCH10AR.docx,10,participant,9,1368,Q1;Q2;Q3;Q4,pillar_emotional;cultural_local_adaptation;pillar_social;pillar_intellectual;medical_model_dominance
D1_P24,HWCH10AR.docx,10,participant,6,1060,Q2;Q3;Q4,pillar_physical;pillar_intellectual;healthcare_system_critique;awareness_education;professional_identity
D1_P25,HWCH10AR.docx,10,participant,5,1005,Q1;Q3;Q4,balance_multidimensional;pillar_physical;spiritual_moral_anchor;cultural_local_adaptation;healthcare_worker_wellbeing
D1_P26,HWCH10AR.docx,10,participant,8,966,Q1;Q2;Q3;Q4,general_response;pillar_social;child_rights_inclusion;child_vulnerability;family_support_ecology
D1_P27,HWCH10AR.docx,10,participant,6,949,Q3;Q4,interdependent_care;training_deficit;child_vulnerability;school_clinical_link;balance_multidimensional
D1_U01,HWCH0AR.docx,0,unclear,4,166,Q3;Q5,general_response
D1_U02,HWCH6AR.docx,6,unclear,2,978,Q6,general_response
