question_id,Theme_1_Balanced_Contentment_segments,Theme_1_Balanced_Contentment_speakers,Theme_1_Balanced_Contentment_tables,Theme_2_Care_Ecology_segments,Theme_2_Care_Ecology_speakers,Theme_2_Care_Ecology_tables,Theme_3_Service_Fragmentation_segments,Theme_3_Service_Fragmentation_speakers,Theme_3_Service_Fragmentation_tables,Theme_4_Culturally_Grounded_Solutions_segments,Theme_4_Culturally_Grounded_Solutions_speakers,Theme_4_Culturally_Grounded_Solutions_tables
Q1,13,5,2,5,3,2,3,3,2,12,4,2
Q2,9,5,2,3,2,2,1,1,1,7,4,3
Q3,34,10,3,65,6,3,18,6,3,47,7,3
Q4,8,4,1,9,4,2,23,7,2,13,6,2
Q5,11,2,1,25,3,1,15,3,1,19,3,1
Q6,0,0,0,2,1,1,3,1,1,0,0,0
Q7,0,0,0,0,0,0,0,0,0,0,0,0
