question_id,Theme_1_Adult_Wellbeing_as_Integrated_Balance_segments,Theme_1_Adult_Wellbeing_as_Integrated_Balance_speakers,Theme_1_Adult_Wellbeing_as_Integrated_Balance_tables,Theme_2_Adult_Life_as_Relational_and_Role_Bearing_Strain_segments,Theme_2_Adult_Life_as_Relational_and_Role_Bearing_Strain_speakers,Theme_2_Adult_Life_as_Relational_and_Role_Bearing_Strain_tables,Theme_3_Holistic_Care_Undermined_by_Time_Hierarchy_and_Navigation_Barriers_segments,Theme_3_Holistic_Care_Undermined_by_Time_Hierarchy_and_Navigation_Barriers_speakers,Theme_3_Holistic_Care_Undermined_by_Time_Hierarchy_and_Navigation_Barriers_tables,Theme_4_Coordinated_and_Institutionally_Embedded_Adult_Care_Redesign_segments,Theme_4_Coordinated_and_Institutionally_Embedded_Adult_Care_Redesign_speakers,Theme_4_Coordinated_and_Institutionally_Embedded_Adult_Care_Redesign_tables
Q1,41,19,4,12,8,2,0,0,0,0,0,0
Q2,23,10,2,17,7,2,0,0,0,0,0,0
Q3,35,11,3,33,10,3,19,10,3,0,0,0
Q4,21,7,3,37,8,3,41,9,2,38,8,3
Q5,23,11,3,22,8,3,38,15,4,43,16,5
Q6,0,0,0,0,0,0,1,1,1,5,4,2
Q7,0,0,0,0,0,0,4,3,2,9,8,2
