question_id,Theme_1_Multidimensional_Wellbeing_Framework_segments,Theme_1_Multidimensional_Wellbeing_Framework_speakers,Theme_1_Multidimensional_Wellbeing_Framework_tables,Theme_2_Youth_Social_Ecology_and_Disconnection_segments,Theme_2_Youth_Social_Ecology_and_Disconnection_speakers,Theme_2_Youth_Social_Ecology_and_Disconnection_tables,Theme_3_Pressured_and_Trust_Sensitive_Care_segments,Theme_3_Pressured_and_Trust_Sensitive_Care_speakers,Theme_3_Pressured_and_Trust_Sensitive_Care_tables,Theme_4_Youth_Sensitive_Implementation_segments,Theme_4_Youth_Sensitive_Implementation_speakers,Theme_4_Youth_Sensitive_Implementation_tables
Q1,19,17,4,4,4,2,3,2,2,0,0,0
Q2,20,15,4,5,4,2,2,2,1,0,0,0
Q3,22,12,4,13,9,3,5,4,2,4,3,2
Q4,6,6,3,2,2,2,14,10,4,18,8,3
Q5,11,10,4,3,3,3,16,10,4,7,5,3
Q6,3,3,2,2,2,2,2,2,1,6,5,2
Q7,2,1,1,3,3,2,2,2,2,5,4,2
