theme,participant_segments,unique_speakers,unique_tables,total_chars,questions_present,composite_score,salience,salience_explanation
Theme_1_Multidimensional_Wellbeing_Framework,83,27,6,31089,Q1;Q2;Q3;Q4;Q5;Q6;Q7,208,most_prominent,83 participant-coded segments from 27 speakers across 6 tables covering 7 questions.
Theme_3_Pressured_and_Trust_Sensitive_Care,44,22,6,15955,Q1;Q2;Q3;Q4;Q5;Q6;Q7,154,highly_prominent,44 participant-coded segments from 22 speakers across 6 tables covering 7 questions.
Theme_2_Youth_Social_Ecology_and_Disconnection,32,21,6,12912,Q1;Q2;Q3;Q4;Q5;Q6;Q7,139,moderately_prominent,32 participant-coded segments from 21 speakers across 6 tables covering 7 questions.
Theme_4_Youth_Sensitive_Implementation,40,18,5,10324,Q3;Q4;Q5;Q6;Q7,129,present_but_less_prominent,40 participant-coded segments from 18 speakers across 5 tables covering 5 questions.
